Fecha;Mes;turistas_miles
01/2019;enero;20
02/2019;febrero;23
03/2019;marzo;26
04/2019;abril;25
05/2019;mayo;23
06/2019;junio;24
07/2019;julio;27
08/2019;agosto;25
09/2019;septiembre;19
10/2019;octubre;18
11/2019;noviembre ;20
12/2019;diciembre;22
01/2020;enero;22
02/2020;febrero;24
03/2020;marzo;11
04/2020;abril;0
05/2020;mayo;0
06/2020;junio;0
07/2020;julio;0
08/2020;agosto;0
09/2020;septiembre;1
10/2020;octubre;3
11/2020;noviembre ;4
12/2020;diciembre;6
01/2021;enero;4
02/2021;febrero;5
03/2021;marzo;7
04/2021;abril;7
05/2021;mayo;7
06/2021;junio;9
07/2021;julio;13
08/2021;agosto;17
09/2021;septiembre;14
10/2021;octubre;18
11/2021;noviembre ;17
12/2021;diciembre;18
01/2022;enero;15
02/2022;febrero;19
03/2022;marzo;25
04/2022;abril;26
05/2022;mayo;23
06/2022;junio;22
07/2022;julio;27
08/2022;agosto;28
09/2022;septiembre;20
10/2022;octubre;19
11/2022;noviembre ;21
12/2022;diciembre;23
